Index,State/Union Territory,District,Crop,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
69,Andhra Pradesh,Anantapur,Rice,2019,Total,32540,110648,3.400368777
70,Andhra Pradesh,Chittoor,Rice,2010,Kharif     ,18019,53639,2.976802264
71,Andhra Pradesh,Chittoor,Rice,2010,Rabi       ,43558,131502,3.019009137
72,Andhra Pradesh,Chittoor,Rice,2010,Total,61577,185141,3.00665833
73,Andhra Pradesh,Chittoor,Rice,2011,Kharif     ,17342,55719,3.212951217
74,Andhra Pradesh,Chittoor,Rice,2011,Rabi       ,33764,113211,3.353009122
75,Andhra Pradesh,Chittoor,Rice,2011,Total,51106,168930,3.305482722
76,Andhra Pradesh,Chittoor,Rice,2012,Kharif     ,13000,45000,3.461538462
77,Andhra Pradesh,Chittoor,Rice,2012,Rabi       ,35000,126000,3.6
78,Andhra Pradesh,Chittoor,Rice,2012,Total,48000,171000,3.5625
79,Andhra Pradesh,Chittoor,Rice,2013,Kharif     ,15206,48766,3.207023543
80,Andhra Pradesh,Chittoor,Rice,2013,Rabi       ,34654,120249,3.469989035
81,Andhra Pradesh,Chittoor,Rice,2013,Total,49860,169015,3.389791416
82,Andhra Pradesh,Chittoor,Rice,2014,Kharif     ,13304,44462,3.342002405
83,Andhra Pradesh,Chittoor,Rice,2014,Rabi       ,27661,87962,3.180000723
84,Andhra Pradesh,Chittoor,Rice,2014,Total,40965,132424,3.232613206
85,Andhra Pradesh,Chittoor,Rice,2015,Kharif     ,9476,32587,3.438898269
86,Andhra Pradesh,Chittoor,Rice,2015,Rabi       ,78677,301962,3.837995857
87,Andhra Pradesh,Chittoor,Rice,2015,Total,88153,334549,3.795094892
88,Andhra Pradesh,Chittoor,Rice,2016,Kharif     ,22905,78527,3.428378083
89,Andhra Pradesh,Chittoor,Rice,2016,Rabi       ,23795,91674,3.852658122
90,Andhra Pradesh,Chittoor,Rice,2016,Total,46700,170201,3.644561028
91,Andhra Pradesh,Chittoor,Rice,2017,Kharif     ,15061,53768,3.570015271
92,Andhra Pradesh,Chittoor,Rice,2017,Rabi       ,49751,192387,3.866997648
93,Andhra Pradesh,Chittoor,Rice,2017,Total,64812,246155,3.797984941
94,Andhra Pradesh,Chittoor,Rice,2018,Kharif     ,17422,64122,3.680518884
95,Andhra Pradesh,Chittoor,Rice,2018,Rabi       ,26519,95645,3.606659376
96,Andhra Pradesh,Chittoor,Rice,2018,Total,43941,159767,3.635943652
97,Andhra Pradesh,Chittoor,Rice,2019,Kharif     ,10664,42981,4.030476369
98,Andhra Pradesh,Chittoor,Rice,2019,Rabi       ,43855,157410,3.589328469
99,Andhra Pradesh,Chittoor,Rice,2019,Total,54519,200391,3.675617675
100,Andhra Pradesh,East Godavari,Rice,2010,Kharif     ,237640,457704,1.926039387
101,Andhra Pradesh,East Godavari,Rice,2010,Rabi       ,172888,849917,4.91599764
102,Andhra Pradesh,East Godavari,Rice,2010,Total,410528,1307621,3.185217574
103,Andhra Pradesh,East Godavari,Rice,2011,Kharif     ,197445,589741,2.986862164
104,Andhra Pradesh,East Godavari,Rice,2011,Rabi       ,139649,587084,4.203997164
105,Andhra Pradesh,East Godavari,Rice,2011,Total,337094,1176825,3.491088539
106,Andhra Pradesh,East Godavari,Rice,2012,Kharif     ,232000,356000,1.534482759
107,Andhra Pradesh,East Godavari,Rice,2012,Rabi       ,169000,746000,4.414201183
108,Andhra Pradesh,East Godavari,Rice,2012,Total,401000,1102000,2.748129676
109,Andhra Pradesh,East Godavari,Rice,2013,Kharif     ,235159,434104,1.846002067
110,Andhra Pradesh,East Godavari,Rice,2013,Rabi       ,169523,777602,4.586999994
111,Andhra Pradesh,East Godavari,Rice,2013,Total,404682,1211706,2.994217682
112,Andhra Pradesh,East Godavari,Rice,2014,Kharif     ,226072,681833,3.015999328
113,Andhra Pradesh,East Godavari,Rice,2014,Rabi       ,168045,881396,5.244999851
114,Andhra Pradesh,East Godavari,Rice,2014,Total,394117,1563229,3.966408452
115,Andhra Pradesh,East Godavari,Rice,2015,Kharif     ,227836,696471,3.056896189
116,Andhra Pradesh,East Godavari,Rice,2015,Rabi       ,153904,749102,4.867332883
117,Andhra Pradesh,East Godavari,Rice,2015,Total,381740,1445573,3.786799916
118,Andhra Pradesh,East Godavari,Rice,2016,Kharif     ,220489,737644,3.345491158
119,Andhra Pradesh,East Godavari,Rice,2016,Rabi       ,163470,889386,5.440668013
120,Andhra Pradesh,East Godavari,Rice,2016,Total,383959,1627030,4.237509734
121,Andhra Pradesh,East Godavari,Rice,2017,Kharif     ,225683,771836,3.42000062
122,Andhra Pradesh,East Godavari,Rice,2017,Rabi       ,160856,900954,5.600997165
123,Andhra Pradesh,East Godavari,Rice,2017,Total,386539,1672790,4.327609892
124,Andhra Pradesh,East Godavari,Rice,2018,Kharif     ,222214,830017,3.735214703
125,Andhra Pradesh,East Godavari,Rice,2018,Rabi       ,163384,893711,5.470003183
126,Andhra Pradesh,East Godavari,Rice,2018,Total,385598,1723728,4.470272149
127,Andhra Pradesh,East Godavari,Rice,2019,Kharif     ,221042,744209,3.36682169
128,Andhra Pradesh,East Godavari,Rice,2019,Rabi       ,166544,888271,5.333551494
129,Andhra Pradesh,East Godavari,Rice,2019,Total,387586,1632480,4.211916839
130,Andhra Pradesh,Guntur,Rice,2010,Kharif     ,271072,649760,2.397001535
131,Andhra Pradesh,Guntur,Rice,2010,Rabi       ,58393,201806,3.455996438
132,Andhra Pradesh,Guntur,Rice,2010,Total,329465,851566,2.584693367
133,Andhra Pradesh,Guntur,Rice,2011,Kharif     ,281790,1080921,3.83590972
134,Andhra Pradesh,Guntur,Rice,2011,Rabi       ,11012,39060,3.547039593
135,Andhra Pradesh,Guntur,Rice,2011,Total,292802,1119981,3.825045594
136,Andhra Pradesh,Guntur,Rice,2012,Kharif     ,175000,608000,3.474285714
137,Andhra Pradesh,Guntur,Rice,2012,Rabi       ,8000,30000,3.75
138,Andhra Pradesh,Guntur,Rice,2012,Total,183000,638000,3.486338798
139,Andhra Pradesh,Guntur,Rice,2013,Kharif     ,280060,912716,3.259001643
140,Andhra Pradesh,Guntur,Rice,2013,Rabi       ,48107,183288,3.81000686
141,Andhra Pradesh,Guntur,Rice,2013,Total,328167,1096004,3.339775175
142,Andhra Pradesh,Guntur,Rice,2014,Kharif     ,255607,1000190,3.912999253
143,Andhra Pradesh,Guntur,Rice,2014,Rabi       ,29695,111742,3.762990402
144,Andhra Pradesh,Guntur,Rice,2014,Total,285302,1111932,3.897385928
145,Andhra Pradesh,Guntur,Rice,2015,Kharif     ,160608,465820,2.900353656
146,Andhra Pradesh,Guntur,Rice,2015,Rabi       ,2610,9051,3.467816092
147,Andhra Pradesh,Guntur,Rice,2015,Total,163218,474871,2.909427882
148,Andhra Pradesh,Guntur,Rice,2016,Kharif     ,163747,685336,4.185334693
149,Andhra Pradesh,Guntur,Rice,2016,Rabi       ,12193,50195,4.116706307
150,Andhra Pradesh,Guntur,Rice,2016,Total,175940,735531,4.180578606
151,Andhra Pradesh,Guntur,Rice,2017,Kharif     ,183828,766563,4.170001306
152,Andhra Pradesh,Guntur,Rice,2017,Rabi       ,18663,86279,4.622997375
153,Andhra Pradesh,Guntur,Rice,2017,Total,202491,852842,4.211752621
154,Andhra Pradesh,Guntur,Rice,2018,Kharif     ,216433,857796,3.963332764
155,Andhra Pradesh,Guntur,Rice,2018,Rabi       ,30405,121397,3.99266568
156,Andhra Pradesh,Guntur,Rice,2018,Total,246838,979193,3.966945932
157,Andhra Pradesh,Guntur,Rice,2019,Kharif     ,220272,877858,3.985336312
158,Andhra Pradesh,Guntur,Rice,2019,Rabi       ,26430,105191,3.979984866
159,Andhra Pradesh,Guntur,Rice,2019,Total,246702,983049,3.984762993
161,Andhra Pradesh,Kadapa,Rice,2010,Rabi       ,17037,48896,2.869988848
162,Andhra Pradesh,Kadapa,Rice,2010,Total,70382,129553,1.840712114
163,Andhra Pradesh,Kadapa,Rice,2011,Kharif     ,47290,141161,2.985007401
164,Andhra Pradesh,Kadapa,Rice,2011,Rabi       ,6606,17499,2.648955495
165,Andhra Pradesh,Kadapa,Rice,2011,Total,53896,158660,2.943817723
166,Andhra Pradesh,Kadapa,Rice,2012,Kharif     ,24000,62000,2.583333333
167,Andhra Pradesh,Kadapa,Rice,2012,Rabi       ,7000,19000,2.714285714
168,Andhra Pradesh,Kadapa,Rice,2012,Total,31000,81000,2.612903226
169,Andhra Pradesh,Kadapa,Rice,2013,Kharif     ,51753,148842,2.876007188
170,Andhra Pradesh,Kadapa,Rice,2013,Rabi       ,10959,29447,2.687015239
171,Andhra Pradesh,Kadapa,Rice,2013,Total,62712,178289,2.84298061
172,Andhra Pradesh,Kadapa,Rice,2014,Kharif     ,42124,155648,3.694995727
173,Andhra Pradesh,Kadapa,Rice,2014,Rabi       ,3761,10189,2.709119915
174,Andhra Pradesh,Kadapa,Rice,2014,Total,45885,165837,3.614187643
175,Andhra Pradesh,Kadapa,Rice,2015,Kharif     ,18625,50337,2.702657718
176,Andhra Pradesh,Kadapa,Rice,2015,Rabi       ,21638,72790,3.363989278
177,Andhra Pradesh,Kadapa,Rice,2015,Total,40263,123127,3.058068202
178,Andhra Pradesh,Kadapa,Rice,2016,Kharif     ,44388,146747,3.306006128
179,Andhra Pradesh,Kadapa,Rice,2016,Rabi       ,5941,18893,3.18010436
180,Andhra Pradesh,Kadapa,Rice,2016,Total,50329,165640,3.291144271
181,Andhra Pradesh,Kadapa,Rice,2017,Kharif     ,30717,70496,2.295015789
182,Andhra Pradesh,Kadapa,Rice,2017,Rabi       ,24262,69268,2.854999588
183,Andhra Pradesh,Kadapa,Rice,2017,Total,54979,139764,2.542134269
184,Andhra Pradesh,Kadapa,Rice,2018,Kharif     ,39041,126779,3.24732973
185,Andhra Pradesh,Kadapa,Rice,2018,Rabi       ,6799,20932,3.078688042
186,Andhra Pradesh,Kadapa,Rice,2018,Total,45840,147711,3.222316754
187,Andhra Pradesh,Kadapa,Rice,2019,Kharif     ,32647,99769,3.055992894
188,Andhra Pradesh,Kadapa,Rice,2019,Rabi       ,9162,29795,3.25201921
189,Andhra Pradesh,Kadapa,Rice,2019,Total,41809,129564,3.098949987
191,Andhra Pradesh,Karimnagar,Rice,2010,Rabi       ,221971,828396,3.732001027
192,Andhra Pradesh,Karimnagar,Rice,2010,Total,381519,1351861,3.543364813
193,Andhra Pradesh,Karimnagar,Rice,2011,Kharif     ,185727,601858,3.240551993
194,Andhra Pradesh,Karimnagar,Rice,2011,Rabi       ,157649,518192,3.286998332
195,Andhra Pradesh,Karimnagar,Rice,2011,Total,343376,1120050,3.261876194
196,Andhra Pradesh,Karimnagar,Rice,2012,Kharif     ,178000,626000,3.516853933
197,Andhra Pradesh,Karimnagar,Rice,2012,Rabi       ,111000,401000,3.612612613
198,Andhra Pradesh,Karimnagar,Rice,2012,Total,289000,1027000,3.553633218
200,Andhra Pradesh,Khammam,Rice,2010,Rabi       ,51215,181147,3.536991116
201,Andhra Pradesh,Khammam,Rice,2010,Total,218252,704071,3.225954401
202,Andhra Pradesh,Khammam,Rice,2011,Kharif     ,150051,366113,2.439923759
203,Andhra Pradesh,Khammam,Rice,2011,Rabi       ,15263,45575,2.985979165
204,Andhra Pradesh,Khammam,Rice,2011,Total,165314,411688,2.490339596
205,Andhra Pradesh,Khammam,Rice,2012,Kharif     ,136000,421000,3.095588235
206,Andhra Pradesh,Khammam,Rice,2012,Rabi       ,18000,52000,2.888888889
207,Andhra Pradesh,Khammam,Rice,2012,Total,154000,473000,3.071428571
208,Andhra Pradesh,Krishna,Rice,2010,Kharif     ,260350,722978,2.776946418
209,Andhra Pradesh,Krishna,Rice,2010,Rabi       ,94991,367710,3.870998305
210,Andhra Pradesh,Krishna,Rice,2010,Total,355341,1090688,3.069412198
211,Andhra Pradesh,Krishna,Rice,2011,Kharif     ,262826,980105,3.729102144
212,Andhra Pradesh,Krishna,Rice,2011,Rabi       ,9203,31437,3.41595132
213,Andhra Pradesh,Krishna,Rice,2011,Total,272029,1011542,3.718507953
214,Andhra Pradesh,Krishna,Rice,2012,Kharif     ,253000,908000,3.588932806
215,Andhra Pradesh,Krishna,Rice,2012,Rabi       ,11000,43000,3.909090909
216,Andhra Pradesh,Krishna,Rice,2012,Total,264000,951000,3.602272727
217,Andhra Pradesh,Krishna,Rice,2013,Kharif     ,264371,773285,2.924999338
218,Andhra Pradesh,Krishna,Rice,2013,Rabi       ,98951,402236,4.06500187
219,Andhra Pradesh,Krishna,Rice,2013,Total,363322,1175521,3.235479822
220,Andhra Pradesh,Krishna,Rice,2014,Kharif     ,235212,788901,3.353999796
221,Andhra Pradesh,Krishna,Rice,2014,Rabi       ,52830,209894,3.973007761
222,Andhra Pradesh,Krishna,Rice,2014,Total,288042,998795,3.467532513
223,Andhra Pradesh,Krishna,Rice,2015,Kharif     ,210818,707083,3.353997287
224,Andhra Pradesh,Krishna,Rice,2015,Rabi       ,9861,55555,5.633809958
225,Andhra Pradesh,Krishna,Rice,2015,Total,220679,762638,3.455870291
226,Andhra Pradesh,Krishna,Rice,2016,Kharif     ,215895,833499,3.860668381
227,Andhra Pradesh,Krishna,Rice,2016,Rabi       ,15514,64217,4.139293541
228,Andhra Pradesh,Krishna,Rice,2016,Total,231409,897716,3.879347821
229,Andhra Pradesh,Krishna,Rice,2017,Kharif     ,235984,930721,3.944000441
230,Andhra Pradesh,Krishna,Rice,2017,Rabi       ,22744,101234,4.451020049
231,Andhra Pradesh,Krishna,Rice,2017,Total,258728,1031955,3.988571009
232,Andhra Pradesh,Krishna,Rice,2018,Kharif     ,245815,1022427,4.159335273
233,Andhra Pradesh,Krishna,Rice,2018,Rabi       ,28199,124621,4.419341111
234,Andhra Pradesh,Krishna,Rice,2018,Total,274014,1147048,4.186092681
235,Andhra Pradesh,Krishna,Rice,2019,Kharif     ,243863,945538,3.877332765
236,Andhra Pradesh,Krishna,Rice,2019,Rabi       ,71173,315771,4.4366684
237,Andhra Pradesh,Krishna,Rice,2019,Total,315036,1261309,4.00369799
238,Andhra Pradesh,Kurnool,Rice,2010,Kharif     ,104110,291475,2.799683028
239,Andhra Pradesh,Kurnool,Rice,2010,Rabi       ,32967,105626,3.203991871
240,Andhra Pradesh,Kurnool,Rice,2010,Total,137077,397101,2.89691925
241,Andhra Pradesh,Kurnool,Rice,2011,Kharif     ,91984,333882,3.629783441
242,Andhra Pradesh,Kurnool,Rice,2011,Rabi       ,14738,46042,3.124033112
243,Andhra Pradesh,Kurnool,Rice,2011,Total,106722,379924,3.559940781
244,Andhra Pradesh,Kurnool,Rice,2012,Kharif     ,72000,277000,3.847222222
245,Andhra Pradesh,Kurnool,Rice,2012,Rabi       ,17000,60000,3.529411765
246,Andhra Pradesh,Kurnool,Rice,2012,Total,89000,337000,3.786516854
247,Andhra Pradesh,Kurnool,Rice,2013,Kharif     ,92596,340383,3.676001123
248,Andhra Pradesh,Kurnool,Rice,2013,Rabi       ,32298,118017,3.654003344
249,Andhra Pradesh,Kurnool,Rice,2013,Total,124894,458400,3.670312425
250,Andhra Pradesh,Kurnool,Rice,2014,Kharif     ,91569,361514,3.947995501
251,Andhra Pradesh,Kurnool,Rice,2014,Rabi       ,23329,82748,3.547001586
252,Andhra Pradesh,Kurnool,Rice,2014,Total,114898,444262,3.866577312
253,Andhra Pradesh,Kurnool,Rice,2015,Kharif     ,46316,145993,3.152107263
254,Andhra Pradesh,Kurnool,Rice,2015,Rabi       ,9276,25589,2.758624407
255,Andhra Pradesh,Kurnool,Rice,2015,Total,55592,171582,3.086451288
256,Andhra Pradesh,Kurnool,Rice,2016,Kharif     ,79264,322068,4.063231732
257,Andhra Pradesh,Kurnool,Rice,2016,Rabi       ,29451,112817,3.830667889
258,Andhra Pradesh,Kurnool,Rice,2016,Total,108715,434885,4.000229959
259,Andhra Pradesh,Kurnool,Rice,2017,Kharif     ,59592,206963,3.472999732
260,Andhra Pradesh,Kurnool,Rice,2017,Rabi       ,42498,155500,3.658995717
261,Andhra Pradesh,Kurnool,Rice,2017,Total,102090,362463,3.550426095
262,Andhra Pradesh,Kurnool,Rice,2018,Kharif     ,88858,346199,3.896092642
263,Andhra Pradesh,Kurnool,Rice,2018,Rabi       ,21039,74787,3.554684158
264,Andhra Pradesh,Kurnool,Rice,2018,Total,109897,420986,3.830732413
265,Andhra Pradesh,Kurnool,Rice,2019,Kharif     ,82759,329605,3.982708829
266,Andhra Pradesh,Kurnool,Rice,2019,Rabi       ,38714,151604,3.91599938
267,Andhra Pradesh,Kurnool,Rice,2019,Total,121473,481209,3.961448223
269,Andhra Pradesh,Mahbubnagar,Rice,2010,Rabi       ,66287,185537,2.798995278
270,Andhra Pradesh,Mahbubnagar,Rice,2010,Total,196698,545767,2.774644379
271,Andhra Pradesh,Mahbubnagar,Rice,2011,Kharif     ,120826,266609,2.206553225
272,Andhra Pradesh,Mahbubnagar,Rice,2011,Rabi       ,51242,129950,2.53600562
273,Andhra Pradesh,Mahbubnagar,Rice,2011,Total,172068,396559,2.304664435
274,Andhra Pradesh,Mahbubnagar,Rice,2012,Kharif     ,97000,257000,2.649484536
275,Andhra Pradesh,Mahbubnagar,Rice,2012,Rabi       ,45000,124000,2.755555556
276,Andhra Pradesh,Mahbubnagar,Rice,2012,Total,142000,381000,2.683098592
278,Andhra Pradesh,Medak,Rice,2010,Rabi       ,62644,229026,3.655992593
279,Andhra Pradesh,Medak,Rice,2010,Total,144558,514919,3.562023548
280,Andhra Pradesh,Medak,Rice,2011,Kharif     ,90400,285575,3.159015487
281,Andhra Pradesh,Medak,Rice,2011,Rabi       ,46632,121383,2.602997941
282,Andhra Pradesh,Medak,Rice,2011,Total,137032,406958,2.969802674
283,Andhra Pradesh,Medak,Rice,2012,Kharif     ,76000,270000,3.552631579
284,Andhra Pradesh,Medak,Rice,2012,Rabi       ,34000,103000,3.029411765
285,Andhra Pradesh,Medak,Rice,2012,Total,110000,373000,3.390909091
287,Andhra Pradesh,Nalgonda,Rice,2010,Rabi       ,199166,681148,3.420001406
288,Andhra Pradesh,Nalgonda,Rice,2010,Total,405315,1323714,3.265889493
289,Andhra Pradesh,Nalgonda,Rice,2011,Kharif     ,216547,634050,2.928001773
290,Andhra Pradesh,Nalgonda,Rice,2011,Rabi       ,111214,329750,2.965004406
291,Andhra Pradesh,Nalgonda,Rice,2011,Total,327761,963800,2.940557296
292,Andhra Pradesh,Nalgonda,Rice,2012,Kharif     ,117000,381000,3.256410256
293,Andhra Pradesh,Nalgonda,Rice,2012,Rabi       ,91000,303000,3.32967033
294,Andhra Pradesh,Nalgonda,Rice,2012,Total,208000,684000,3.288461539
296,Andhra Pradesh,Nizamabad,Rice,2010,Rabi       ,104894,416744,3.973001316
297,Andhra Pradesh,Nizamabad,Rice,2010,Total,221623,844240,3.809351917
298,Andhra Pradesh,Nizamabad,Rice,2011,Kharif     ,149497,584000,3.906432905
299,Andhra Pradesh,Nizamabad,Rice,2011,Rabi       ,110314,388195,3.519000308
300,Andhra Pradesh,Nizamabad,Rice,2011,Total,259811,972195,3.741931635
301,Andhra Pradesh,Nizamabad,Rice,2012,Kharif     ,129000,516000,4
302,Andhra Pradesh,Nizamabad,Rice,2012,Rabi       ,64000,220000,3.4375
303,Andhra Pradesh,Nizamabad,Rice,2012,Total,193000,736000,3.813471503
304,Andhra Pradesh,Prakasam,Rice,2010,Kharif     ,48878,143300,2.931789353
305,Andhra Pradesh,Prakasam,Rice,2010,Rabi       ,107903,376150,3.486001316
306,Andhra Pradesh,Prakasam,Rice,2010,Total,156781,519450,3.313220352
307,Andhra Pradesh,Prakasam,Rice,2011,Kharif     ,39122,134932,3.449005675
308,Andhra Pradesh,Prakasam,Rice,2011,Rabi       ,79396,292098,3.679001461
309,Andhra Pradesh,Prakasam,Rice,2011,Total,118518,427030,3.603081389
310,Andhra Pradesh,Prakasam,Rice,2012,Kharif     ,18000,64000,3.555555556
311,Andhra Pradesh,Prakasam,Rice,2012,Rabi       ,34000,126000,3.705882353
312,Andhra Pradesh,Prakasam,Rice,2012,Total,52000,190000,3.653846154
313,Andhra Pradesh,Prakasam,Rice,2013,Kharif     ,58034,213391,3.67699969
314,Andhra Pradesh,Prakasam,Rice,2013,Rabi       ,80544,318874,3.959003774
315,Andhra Pradesh,Prakasam,Rice,2013,Total,138578,532265,3.840905483
316,Andhra Pradesh,Prakasam,Rice,2014,Kharif     ,31764,121783,3.833994459
317,Andhra Pradesh,Prakasam,Rice,2014,Rabi       ,73533,284132,3.864006637
318,Andhra Pradesh,Prakasam,Rice,2014,Total,105297,405915,3.854953133
319,Andhra Pradesh,Prakasam,Rice,2015,Kharif     ,14187,61438,4.330584338
320,Andhra Pradesh,Prakasam,Rice,2015,Rabi       ,30198,117249,3.882674349
321,Andhra Pradesh,Prakasam,Rice,2015,Total,44385,178687,4.025842064
322,Andhra Pradesh,Prakasam,Rice,2016,Kharif     ,19297,64177,3.325750117
323,Andhra Pradesh,Prakasam,Rice,2016,Rabi       ,20775,79721,3.837352587
324,Andhra Pradesh,Prakasam,Rice,2016,Total,40072,143898,3.590986225
325,Andhra Pradesh,Prakasam,Rice,2017,Kharif     ,27547,107543,3.903982285
326,Andhra Pradesh,Prakasam,Rice,2017,Rabi       ,19806,74035,3.738008684
327,Andhra Pradesh,Prakasam,Rice,2017,Total,47353,181578,3.834561696
328,Andhra Pradesh,Prakasam,Rice,2018,Kharif     ,27778,102036,3.673266614
